Address;AddressFM;location;point;Lat;Long
Adam-Riese-Straße;Frankfurt am Main Adam-Riese-Straße;Adam-Riese-Straße, Gallus, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60327, Deutschland;50.1053813, 8.6537338, 0.0;501.053.813;86.537.338
Adelheidstraße;Frankfurt am Main Adelheidstraße;Adelheidstraße, Dornbusch, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60433, Deutschland;50.1499647, 8.6692121, 0.0;501.499.647;86.692.121
Adelonstraße;Frankfurt am Main Adelonstraße;Adelonstraße, Höchst, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65929, Deutschland;50.103446, 8.5413172, 0.0;50.103.446;85.413.172
Adickesallee;Frankfurt am Main Adickesallee;Adickesallee, Nordend West, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60322, Deutschland;50.131945, 8.6746018, 0.0;50.131.945;86.746.018
Adlerflychtplatz;Frankfurt am Main Adlerflychtplatz;Adlerflychtplatz, Nordend West, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60318, Deutschland;50.12425115, 8.68171301909095, 0.0;5.012.425.115;868.171.301.909.095
Adlerflychtstraße;Frankfurt am Main Adlerflychtstraße;Adlerflychtstraße, Nordend West, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60318, Deutschland;50.123786, 8.6838572, 0.0;50.123.786;86.838.572
Adlhochplatz;Frankfurt am Main Adlhochplatz;Adlhochplatz, Sachsenhausen, Sachsenhausen Nord, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60594, Deutschland;50.10172725, 8.68625108378971, 0.0;5.010.172.725;868.625.108.378.971
Adolf-Haeuser-Straße;Frankfurt am Main Adolf-Haeuser-Straße;Adolf-Haeuser-Straße, Höchst, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65929, Deutschland;50.1018141, 8.5424905, 0.0;501.018.141;85.424.905
Adolf-Leweke-Straße;Frankfurt am Main Adolf-Leweke-Straße;Adolf-Leweke-Straße, Eckenheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60435, Deutschland;50.1543545, 8.6841765, 0.0;501.543.545;86.841.765
Adolf-Meyer-Straße;Frankfurt am Main Adolf-Meyer-Straße;Adolf-Meyer-Straße, Riedberg, Kalbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60438, Deutschland;50.1783188, 8.6207367, 0.0;501.783.188;86.207.367
Adolf-Miersch-Straße;Frankfurt am Main Adolf-Miersch-Straße;Adolf-Miersch-Straße, Niederrad, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60528, Deutschland;50.0831416, 8.6432138, 0.0;500.831.416;86.432.138
Adolf-Reichwein-Straße;Frankfurt am Main Adolf-Reichwein-Straße;Adolf-Reichwein-Straße, Dornbusch, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60320, Deutschland;50.1438307, 8.6739651, 0.0;501.438.307;86.739.651
Adolfstraße;Frankfurt am Main Adolfstraße;Adolfstraße, Niederrad, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60528, Deutschland;50.0836548, 8.6461555, 0.0;500.836.548;86.461.555
Adolph-Prior-Straße;Frankfurt am Main Adolph-Prior-Straße;Adolph-Prior-Straße, Sossenheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65936, Deutschland;50.129835, 8.5815479, 0.0;50.129.835;85.815.479
Ährenstraße;Frankfurt am Main Ährenstraße;Ährenstraße, Gutleutviertel, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60327, Deutschland;50.0956391, 8.641277, 0.0;500.956.391;8.641.277
Affentorplatz;Frankfurt am Main Affentorplatz;Affentorplatz, Sachsenhausen, Sachsenhausen Nord, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60594, Deutschland;50.10426035, 8.68966702718058, 0.0;5.010.426.035;868.966.702.718.058
Agendawaldschneise;Frankfurt am Main Agendawaldschneise;Agendawaldschneise, Schwanheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60529, Deutschland;50.0771543, 8.5744911, 0.0;500.771.543;85.744.911
Ahornschneise;Frankfurt am Main Ahornschneise;Ahornschneise, Flughafen, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60549, Deutschland;50.0625941, 8.5844881, 0.0;500.625.941;85.844.881
Ahornstraße;Frankfurt am Main Ahornstraße;Ahornstraße, Griesheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65933, Deutschland;50.0976808, 8.5957477, 0.0;500.976.808;85.957.477
Ahrtalstraße;Frankfurt am Main Ahrtalstraße;Ahrtalstraße, Schwanheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60529, Deutschland;50.0881231, 8.5757036, 0.0;500.881.231;85.757.036
Airportring;Frankfurt am Main Airportring;Airportring, Flughafen, Rüsselsheim am Main, Kreis Groß-Gerau, Regierungsbezirk Darmstadt, Hessen, 60549, Deutschland;50.0234658, 8.5372715, 0.0;500.234.658;85.372.715
Akazienstraße;Frankfurt am Main Akazienstraße;Akazienstraße, Griesheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65933, Deutschland;50.0988691, 8.6008091, 0.0;500.988.691;86.008.091
Albanusstraße;Frankfurt am Main Albanusstraße;Albanusstraße, Höchst, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65929, Deutschland;50.1003325, 8.5474694, 0.0;501.003.325;85.474.694
Albert-Blank-Straße;Frankfurt am Main Albert-Blank-Straße;Albert-Blank-Straße, Sindlingen, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65931, Deutschland;50.0852316, 8.5085414, 0.0;500.852.316;85.085.414
Albert-Einstein-Straße;Frankfurt am Main Albert-Einstein-Straße;Albert-Einstein-Straße, Nieder-Eschbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.2015465, 8.6782289, 0.0;502.015.465;86.782.289
Albert-Linel-Straße;Frankfurt am Main Albert-Linel-Straße;Albert-Linel-Straße, Kuhwaldsiedlung, Bockenheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60486, Deutschland;50.1119357, 8.6341981, 0.0;501.119.357;86.341.981
Albert-Schweitzer-Straße;Frankfurt am Main Albert-Schweitzer-Straße;Albert-Schweitzer-Straße, Nieder-Eschbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.1998457, 8.6677202, 0.0;501.998.457;86.677.202
Albusstraße;Frankfurt am Main Albusstraße;Albusstraße, Innenstadt, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60313, Deutschland;50.1142803, 8.689164, 0.0;501.142.803;8.689.164
Alemannenweg;Frankfurt am Main Alemannenweg;Alemannenweg, Unterliederbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65929, Deutschland;50.1148196, 8.539095, 0.0;501.148.196;8.539.095
Alexander-Riese-Weg;Frankfurt am Main Alexander-Riese-Weg;Alexander-Riese-Weg, Heddernheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60439, Deutschland;50.1589881, 8.6518113, 0.0;501.589.881;86.518.113
Alexanderstraße;Frankfurt am Main Alexanderstraße;Alexanderstraße, Rödelheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60489, Deutschland;50.1272848, 8.6124933, 0.0;501.272.848;86.124.933
Alfred-Brehm-Platz;Frankfurt am Main Alfred-Brehm-Platz;Alfred-Brehm-Platz, Ostend, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60316, Deutschland;50.11584205, 8.69820240233645, 0.0;5.011.584.205;869.820.240.233.645
Alfred-Delp-Straße;Frankfurt am Main Alfred-Delp-Straße;Alfred-Delp-Straße, Sachsenhausen Süd, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60599, Deutschland;50.0972861, 8.7136847, 0.0;500.972.861;87.136.847
Alfred-Göbel-Weg;Frankfurt am Main Alfred-Göbel-Weg;Alfred-Göbel-Weg, Bergen-Enkheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60388, Deutschland;50.1508624, 8.7540248, 0.0;501.508.624;87.540.248
Alfred-Kiefer-Weg;Frankfurt am Main Alfred-Kiefer-Weg;Alfred-Kiefer-Weg, Schwanheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60529, Deutschland;50.083895, 8.6141668, 0.0;50.083.895;86.141.668
Alfred-Pfaff-Straße;Frankfurt am Main Alfred-Pfaff-Straße;Alfred-Pfaff-Straße, Wagenplatz Borsigallee, Seckbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60386, Deutschland;50.1321475, 8.7290731, 0.0;501.321.475;87.290.731
Alfred-Wegener-Straße;Frankfurt am Main Alfred-Wegener-Straße;Alfred-Wegener-Straße, Niederursel, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60438, Deutschland;50.1752152, 8.6301526, 0.0;501.752.152;86.301.526
Alkmenestraße;Frankfurt am Main Alkmenestraße;Alkmenestraße, Preungesheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60435, Deutschland;50.1521776, 8.7011542, 0.0;501.521.776;87.011.542
Allendorfer Straße;Frankfurt am Main Allendorfer Straße;Allendorfer Straße, Dornbusch, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60433, Deutschland;50.1529786, 8.6674448, 0.0;501.529.786;86.674.448
Allerheiligenstraße;Frankfurt am Main Allerheiligenstraße;Allerheiligenstraße, Innenstadt, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60313, Deutschland;50.1133931, 8.6912339, 0.0;501.133.931;86.912.339
Allerheiligentor;Frankfurt am Main Allerheiligentor;Allerheiligentor, Innenstadt, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60311, Deutschland;50.1132879, 8.6943356, 0.0;501.132.879;86.943.356
Allesinastraße;Frankfurt am Main Allesinastraße;Allesinastraße, Sindlingen, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65931, Deutschland;50.0784876, 8.5169672, 0.0;500.784.876;85.169.672
Allmeygang;Frankfurt am Main Allmeygang;Allmeygang, Höchst, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65929, Deutschland;50.099131, 8.5480211, 0.0;50.099.131;85.480.211
Alois-Brisbois-Weg;Frankfurt am Main Alois-Brisbois-Weg;Alois-Brisbois-Weg, Höchst, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65929, Deutschland;50.1137347, 8.5514776, 0.0;501.137.347;85.514.776
Alois-Eckert-Straße;Frankfurt am Main Alois-Eckert-Straße;Alois-Eckert-Straße, Niederrad, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60528, Deutschland;50.078599, 8.6430825, 0.0;50.078.599;86.430.825
Alpenroder Straße;Frankfurt am Main Alpenroder Straße;Alpenroder Straße, Sossenheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65936, Deutschland;50.1225508, 8.5619394, 0.0;501.225.508;85.619.394
Alsfelder Straße;Frankfurt am Main Alsfelder Straße;Alsfelder Straße, Seckbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60389, Deutschland;50.1470414, 8.7258804, 0.0;501.470.414;87.258.804
Alt-Bergen;Frankfurt am Main Alt-Bergen;Alt-Bergen, Bergen-Enkheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60388, Deutschland;50.155141, 8.7544228, 0.0;50.155.141;87.544.228
Alt-Bonames;Frankfurt am Main Alt-Bonames;Alt-Bonames, Bonames, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.1812811, 8.6643351, 0.0;501.812.811;86.643.351
Alt-Bornheim;Frankfurt am Main Alt-Bornheim;Alt-Bornheim, Bornheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60385, Deutschland;50.128628, 8.7111922, 0.0;50.128.628;87.111.922
Alt-Enkheim;Frankfurt am Main Alt-Enkheim;Alt-Enkheim, Bergen-Enkheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60388, Deutschland;50.1497455, 8.7530139, 0.0;501.497.455;87.530.139
Alt-Erlenbach;Frankfurt am Main Alt-Erlenbach;Alt-Erlenbach, Nieder-Erlenbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.1974259, 8.7172879, 0.0;501.974.259;87.172.879
Alt-Eschersheim;Frankfurt am Main Alt-Eschersheim;Alt-Eschersheim, Eschersheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60433, Deutschland;50.159613, 8.653793, 0.0;50.159.613;8.653.793
Alt-Fechenheim;Frankfurt am Main Alt-Fechenheim;Alt-Fechenheim, Fechenheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60386, Deutschland;50.1322585, 8.7672372, 0.0;501.322.585;87.672.372
Alt-Ginnheim;Frankfurt am Main Alt-Ginnheim;Alt-Ginnheim, Ginnheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60431, Deutschland;50.1438852, 8.6486271, 0.0;501.438.852;86.486.271
Alt-Griesheim;Frankfurt am Main Alt-Griesheim;Alt-Griesheim, Griesheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65933, Deutschland;50.0907841, 8.605968, 0.0;500.907.841;8.605.968
Alt-Harheim;Frankfurt am Main Alt-Harheim;Alt-Harheim, Harheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.1825147, 8.6929832, 0.0;501.825.147;86.929.832
Alt-Hausen;Frankfurt am Main Alt-Hausen;Alt-Hausen, Hausen, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60488, Deutschland;50.133545, 8.6254186, 0.0;50.133.545;86.254.186
Alt-Heddernheim;Frankfurt am Main Alt-Heddernheim;Alt-Heddernheim, Heddernheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60439, Deutschland;50.1575193, 8.6483937, 0.0;501.575.193;86.483.937
Alt-Höchst;Frankfurt am Main Alt-Höchst;Alt-Höchst, Höchst, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65929, Deutschland;50.099587, 8.5474746, 0.0;50.099.587;85.474.746
Alt-Kalbach;Frankfurt am Main Alt-Kalbach;Alt-Kalbach, Kalbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.1891678, 8.6348389, 0.0;501.891.678;86.348.389
Alt-Nied;Frankfurt am Main Alt-Nied;Alt-Nied, Nied, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65934, Deutschland;50.0993704, 8.5655526, 0.0;500.993.704;85.655.526
Alt-Niedereschbach;Frankfurt am Main Alt-Niedereschbach;Alt-Niedereschbach, Nieder-Eschbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.2021297, 8.6729576, 0.0;502.021.297;86.729.576
Alt-Niederursel;Frankfurt am Main Alt-Niederursel;Alt-Niederursel, Niederursel, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60439, Deutschland;50.1683105, 8.6187992, 0.0;501.683.105;86.187.992
Alt-Praunheim;Frankfurt am Main Alt-Praunheim;Alt-Praunheim, Praunheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60439, Deutschland;50.1524246, 8.6234822, 0.0;501.524.246;86.234.822
Alt-Preungesheim;Frankfurt am Main Alt-Preungesheim;Alt-Preungesheim, Preungesheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60435, Deutschland;50.1556168, 8.6901934, 0.0;501.556.168;86.901.934
Alt-Rödelheim;Frankfurt am Main Alt-Rödelheim;Alt-Rödelheim, Rödelheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60489, Deutschland;50.1255742, 8.6130797, 0.0;501.255.742;86.130.797
Alt-Schwanheim;Frankfurt am Main Alt-Schwanheim;Alt-Schwanheim, Schwanheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60529, Deutschland;50.0849718, 8.5813186, 0.0;500.849.718;85.813.186
Alt-Seckbach;Frankfurt am Main Alt-Seckbach;Alt-Seckbach, Seckbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60389, Deutschland;50.1456937, 8.7263827, 0.0;501.456.937;87.263.827
Alt-Sindlingen;Frankfurt am Main Alt-Sindlingen;Alt-Sindlingen, Sindlingen, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65931, Deutschland;50.0809265, 8.5191074, 0.0;500.809.265;85.191.074
Alt-Sossenheim;Frankfurt am Main Alt-Sossenheim;Alt-Sossenheim, Sossenheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65936, Deutschland;50.1205716, 8.5677351, 0.0;501.205.716;85.677.351
Alt-Zeilsheim;Frankfurt am Main Alt-Zeilsheim;Alt-Zeilsheim, Zeilsheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65931, Deutschland;50.094201, 8.4952891, 0.0;50.094.201;84.952.891
Alte Brücke;Frankfurt am Main Alte Brücke;Alte Brücke, Innenstadt, Altstadt, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60311, Deutschland;50.1080235, 8.6877621, 0.0;501.080.235;86.877.621
Alte Fahrt;Frankfurt am Main Alte Fahrt;Alte Fahrt, Nieder-Erlenbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.2019657, 8.709963, 0.0;502.019.657;8.709.963
Alte Falterstraße;Frankfurt am Main Alte Falterstraße;Alte Falterstraße, Griesheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65933, Deutschland;50.0915444, 8.6070759, 0.0;500.915.444;86.070.759
Alte Gasse;Frankfurt am Main Alte Gasse;Alte Gasse, Innenstadt, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60313, Deutschland;50.1183388, 8.6859885, 0.0;501.183.388;86.859.885
Alte Gelnhäuser Straße;Frankfurt am Main Alte Gelnhäuser Straße;Alte Gelnhäuser Straße, Bergen-Enkheim, Maintal, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60388, Deutschland;50.1508916, 8.7787822, 0.0;501.508.916;87.787.822
Alte Heegwaldschneise;Frankfurt am Main Alte Heegwaldschneise;Alte Heegwaldschneise, Flughafen, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60549, Deutschland;50.0288105, 8.5197189, 0.0;500.288.105;85.197.189
Alte Hofgasse;Frankfurt am Main Alte Hofgasse;Alte Hofgasse, Nieder-Eschbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.2006687, 8.6740217, 0.0;502.006.687;86.740.217
Alte Mainzer Gasse;Frankfurt am Main Alte Mainzer Gasse;Alte Mainzer Gasse, Innenstadt, Altstadt, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60311, Deutschland;50.1088745, 8.678658, 0.0;501.088.745;8.678.658
Alte Mainzer Schneise;Frankfurt am Main Alte Mainzer Schneise;Alte Mainzer Schneise, Flughafen, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60549, Deutschland;50.0643163, 8.5548022, 0.0;500.643.163;85.548.022
Alte Niddabrücke;Frankfurt am Main Alte Niddabrücke;Alte Niddabrücke, Nied, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65934, Deutschland;50.1007946, 8.5634578, 0.0;501.007.946;85.634.578
Alte Riedbergstraße;Frankfurt am Main Alte Riedbergstraße;Alte Riedbergstraße, Kalbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.1853225, 8.646065, 0.0;501.853.225;8.646.065
Alte Rothofstraße;Frankfurt am Main Alte Rothofstraße;Alte Rothofstraße, Innenstadt, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60313, Deutschland;50.1131153, 8.6752023, 0.0;501.131.153;86.752.023
Altebergs-Zwerchgäßchen;Frankfurt am Main Altebergs-Zwerchgäßchen;Altebergs-Zwerchgäßchen, Sachsenhausen Süd, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60599, Deutschland;50.0919603, 8.710023, 0.0;500.919.603;8.710.023
Altebergsweg;Frankfurt am Main Altebergsweg;Altebergsweg, Oberrad, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60599, Deutschland;50.0940238, 8.7243137, 0.0;500.940.238;87.243.137
Altebornstraße;Frankfurt am Main Altebornstraße;Altebornstraße, Seckbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60389, Deutschland;50.1411932, 8.7240721, 0.0;501.411.932;87.240.721
Altenburger Weg;Frankfurt am Main Altenburger Weg;Altenburger Weg, Zeilsheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65931, Deutschland;50.0935854, 8.5009347, 0.0;500.935.854;85.009.347
Altenhainer Straße;Frankfurt am Main Altenhainer Straße;Altenhainer Straße, Europaviertel, Gallus, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60326, Deutschland;50.1065512, 8.6324143, 0.0;501.065.512;86.324.143
Altenhöferallee;Frankfurt am Main Altenhöferallee;Altenhöferallee, Riedberg, Kalbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60438, Deutschland;50.1837561, 8.6244128, 0.0;501.837.561;86.244.128
Alter Gerichtsplatz;Frankfurt am Main Alter Gerichtsplatz;Alter Gerichtsplatz, Riedberg, Kalbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60438, Deutschland;50.1771798, 8.63705981398548, 0.0;501.771.798;863.705.981.398.548
Alter Gundweg;Frankfurt am Main Alter Gundweg;Alter Gundweg, Sachsenhausen Süd, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60528, Deutschland;50.0643392, 8.6414239, 0.0;500.643.392;86.414.239
Alter Schulpfad;Frankfurt am Main Alter Schulpfad;Alter Schulpfad, Nied, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65934, Deutschland;50.0995548, 8.5652867, 0.0;500.995.548;85.652.867
Alter Wartweg;Frankfurt am Main Alter Wartweg;Alter Wartweg, Bergen-Enkheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60388, Deutschland;50.1559036, 8.7426210909155, 0.0;501.559.036;87.426.210.909.155
Altes Schützenhüttengäßchen;Frankfurt am Main Altes Schützenhüttengäßchen;Altes Schützenhüttengäßchen, Sachsenhausen Süd, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60598, Deutschland;50.0919099, 8.6919281, 0.0;500.919.099;86.919.281
Altheimstraße;Frankfurt am Main Altheimstraße;Altheimstraße, Eschersheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60431, Deutschland;50.1555425, 8.6554827, 0.0;501.555.425;86.554.827
Altkönigblick;Frankfurt am Main Altkönigblick;Altkönigblick, Harheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.1893079, 8.6991804, 0.0;501.893.079;86.991.804
Altkönigstraße;Frankfurt am Main Altkönigstraße;Altkönigstraße, Westend Süd, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60323, Deutschland;50.1209033, 8.665511, 0.0;501.209.033;8.665.511
Altvaterstraße;Frankfurt am Main Altvaterstraße;Altvaterstraße, Nieder-Eschbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.2030214, 8.6687217, 0.0;502.030.214;86.687.217
Alzeyer Straße;Frankfurt am Main Alzeyer Straße;Alzeyer Straße, Nied, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65934, Deutschland;50.0966592, 8.5750951, 0.0;500.966.592;85.750.951
Am Abtshof;Frankfurt am Main Am Abtshof;Am Abtshof, Schwanheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60529, Deutschland;50.0866, 8.5812615, 0.0;500.866;85.812.615
Am Alten Schloß;Frankfurt am Main Am Alten Schloß;Am Alten Schloß, Praunheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60439, Deutschland;50.1555179, 8.6235523, 0.0;501.555.179;86.235.523
Am Alten See;Frankfurt am Main Am Alten See;Am Alten See, Rödelheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60489, Deutschland;50.1276794, 8.6110754, 0.0;501.276.794;86.110.754
Am Alten Volkshaus;Frankfurt am Main Am Alten Volkshaus;Am Alten Volkshaus, Riederwald, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60386, Deutschland;50.1287744, 8.7310033, 0.0;501.287.744;87.310.033
Am Ameisenberg;Frankfurt am Main Am Ameisenberg;Am Ameisenberg, Bornheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60385, Deutschland;50.1325033, 8.7125437, 0.0;501.325.033;87.125.437
Am Atzelberg;Frankfurt am Main Am Atzelberg;Am Atzelberg, Seckbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60389, Deutschland;50.1401333, 8.7215465, 0.0;501.401.333;87.215.465
Am Auerborn;Frankfurt am Main Am Auerborn;Am Auerborn, Schwanheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60529, Deutschland;50.0859628, 8.5972513, 0.0;500.859.628;85.972.513
Am Auweg;Frankfurt am Main Am Auweg;Am Auweg, Harheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.1815437, 8.6911314, 0.0;501.815.437;86.911.314
Am Bachberg;Frankfurt am Main Am Bachberg;Am Bachberg, Preungesheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60435, Deutschland;50.1567877, 8.6886472, 0.0;501.567.877;86.886.472
